Product Name,Original Price,Clearance Price,Percentage Off,Product Category,Product Code,Rating,Link
"Petco Nylon Dog Collar, Adjustable, Assorted Sizes, Rose Gold/Grey",,19.99,,pet-care,142-6100X,4.8,https://www.canadiantire.ca/en/pdp/petco-nylon-dog-collar-adjustable-assorted-sizes-rose-gold-grey-1426102p.html#srp
"Rust Oleum Wipe New Synthetic Car Wax System Kit, 4-pc, 118-mL",41.99,,,car-care-accessories,039-0563-0,1.0,https://www.canadiantire.ca/en/pdp/rust-oleum-wipe-new-synthetic-car-wax-system-kit-4-pc-118-ml-0390563p.html#srp
"CANVAS Cloud Print Light Filtering Curtain, 2-pk, 40-in 63-in",44.99,22.93,49.0,home-decor,046-6857-8,4.5,https://www.canadiantire.ca/en/pdp/canvas-cloud-print-light-filtering-curtain-2-pk-40-in-63-in-0466857p.html#srp
Bushnell 30MP Core 4K Single No Glow Camo,299.99,209.93,30.0,hunting,375-1276-6,0.0,https://www.canadiantire.ca/en/pdp/bushnell-30mp-core-4k-single-no-glow-camo-3751276p.html#srp
PrideSports Collapsible Golf Multi-Tool,10.49,4.93,53.0,team-sports-and-golf,086-1005-0,3.0,https://www.canadiantire.ca/en/pdp/pridesports-collapsible-golf-multi-tool-0861005p.html#srp
"Febreze Evening Woods Vent Clip, 2-pk",6.79,3.43,49.0,car-care-accessories,037-4878-2,4.7,https://www.canadiantire.ca/en/pdp/febreze-evening-woods-vent-clip-2-pk-0374878p.html#srp
"Dupli-Color Scratch Fix All-In-1, Drift Sand Metallic (49 WA220C)",20.99,1.93,91.0,car-care-accessories,047-4998-2,0.0,https://www.canadiantire.ca/en/pdp/dupli-color-scratch-fix-all-in-1-drift-sand-metallic-49-wa220c-0474998p.html#srp
"Matrix Power Elite EXP Aluminum & Steel Badminton Racquet/Racket, Yellow/Black, 26-in",24.99,14.93,40.0,team-sports-and-golf,084-7995-0,4.0,https://www.canadiantire.ca/en/pdp/matrix-power-elite-exp-aluminum-steel-badminton-racquet-racket-yellow-black-26-in-0847995p.html#srp
"PrideSports Canadian Flag Golf Divot Repair Tool, Include Ball Marker",8.49,3.93,54.0,team-sports-and-golf,086-0390-6,4.0,https://www.canadiantire.ca/en/pdp/pridesports-canadian-flag-golf-divot-repair-tool-include-ball-marker-0860390p.html#srp
"For Living Apothecary Ceramic Soap Dish, White",10.99,5.93,46.0,home-decor,063-2259-4,5.0,https://www.canadiantire.ca/en/pdp/for-living-apothecary-ceramic-soap-dish-white-0632259p.html#srp
Netgear Wireless AC1750 Dual Band Smart Wi-Fi Router,129.99,49.93,62.0,electronics,069-4089-4,4.7,https://www.canadiantire.ca/en/pdp/netgear-wireless-ac1750-dual-band-smart-wi-fi-router-0694089p.html#srp
"STP Ultra 5-in-1 Diesel All Season Fuel System Cleaner, 354mL",,19.99,,auto-maintenance,038-0886X,4.7,https://www.canadiantire.ca/en/pdp/stp-ultra-5-in-1-diesel-all-season-fuel-system-cleaner-354ml-0380886p.html#srp
"CRC Guaranteed To Pass Emissions System Cleaner, 354-mL",16.49,,,auto-maintenance,038-0709-8,4.0,https://www.canadiantire.ca/en/pdp/crc-guaranteed-to-pass-emissions-system-cleaner-354-ml-0380709p.html#srp
"Bluehive Type-C Charger & Sync Cable, Chevron, Red, 3-ft",12.99,6.43,51.0,car-care-accessories,035-0386-0,4.3,https://www.canadiantire.ca/en/pdp/bluehive-type-c-charger-sync-cable-chevron-red-3-ft-0350386p.html#srp
Leviton Renu Colour Change GFCI,2.39,0.73,69.0,electrical,052-6980X,0.0,https://www.canadiantire.ca/en/pdp/leviton-renu-colour-change-gfci-0526980p.html#srp
"CANVAS Felt Message Board, Grey/White, 15.75 x 0.7 x 11.8-in",24.99,9.93,60.0,home-decor,068-7134-0,4.7,https://www.canadiantire.ca/en/pdp/canvas-felt-message-board-grey-white-15-75-x-0-7-x-11-8-in-0687134p.html#srp
