Product Name,Original Price,Clearance Price,Percentage Off,Product Category,Product Code,Rating,Link,Sale Price
PowerBilt TPX CX4 4-Wheel Golf Cart,249.99,,40.0,team-sports-and-golf,086-0603-2,4.5,https://www.canadiantire.ca/en/pdp/powerbilt-tpx-cx4-4-wheel-golf-cart-0860603p.html#srp,149.99
"Matrix Portable Adjustable Basketball Backboard, Hoop & Net System w/ Breakaway Rim, 54-in",479.99,,6.0,team-sports-and-golf,184-0155-4,2.6,https://www.canadiantire.ca/en/pdp/matrix-portable-adjustable-basketball-backboard-hoop-net-system-w-breakaway-rim-54-in-1840155p.html#srp,449.99
"Mastercraft High-Visibility Pliers Set, Double Shot Handle, Anti-Rust Coating, Carbon Steel, 6-pc",59.99,,58.0,tools,058-4789-4,4.4,https://www.canadiantire.ca/en/pdp/mastercraft-high-visibility-pliers-set-double-shot-handle-anti-rust-coating-carbon-steel-6-pc-0584789p.html#srp,24.99
"Mastercraft Adjustable 5-Shelf Steel Metal & Wood Storage Rack / Shelving Unit, 48 x 24 x 72-in",249.99,,20.0,tools,068-6371-0,4.6,https://www.canadiantire.ca/en/pdp/mastercraft-adjustable-5-shelf-steel-metal-wood-storage-rack-shelving-unit-48-x-24-x-72-in-0686371p.html#srp,199.99
"Mastercraft Folding Blade Utility Knife, Blue",11.99,,50.0,tools,057-5084-6,4.6,https://www.canadiantire.ca/en/pdp/mastercraft-folding-blade-utility-knife-blue-0575084p.html#srp,6.0
"Evoke Muskoka Sit-In Rotomolded Kayak, 10-ft",729.99,,14.0,seasonal-recreation,079-1225-4,4.6,https://www.canadiantire.ca/en/pdp/evoke-muskoka-sit-in-rotomolded-kayak-10-ft-0791225p.html#srp,629.99
MASTER Chef Outdoor Aluminium Turkey Deep Fryer & Boiler with a Propane Gas Burner,169.99,,24.0,backyard-living,085-3230-2,3.6,https://www.canadiantire.ca/en/pdp/master-chef-outdoor-aluminium-turkey-deep-fryer-boiler-with-a-propane-gas-burner-0853230p.html#srp,129.99
"Coleman QuickPump 12V Electric Air Pump w/ Car Adapter, Inflates/Deflates Airbeds & Toys",54.99,,20.0,camping,076-0234-4,4.1,https://www.canadiantire.ca/en/pdp/coleman-quickpump-12v-electric-air-pump-w-car-adapter-inflates-deflates-airbeds-toys-0760234p.html#srp,43.99
"Ninja® Foodi™ 14-in-1 Pressure Cooker/Slow Cooker w/ Air Fryer, Stainless Steel, 8qt",479.99,,38.0,kitchen,043-0959-8,4.8,https://www.canadiantire.ca/en/pdp/ninja-foodi-14-in-1-pressure-cooker-slow-cooker-w-air-fryer-stainless-steel-8qt-0430959p.html#srp,299.99
"Mastercraft Drill Press with LED Light, 10-in",249.99,,40.0,tools,055-6798-6,4.1,https://www.canadiantire.ca/en/pdp/mastercraft-drill-press-with-led-light-10-in-0556798p.html#srp,149.99
